DateGMT;Attendance;Home_Team_Name;AwayTeamName;Referee;HomeTeamGoalCount ;AwayTeamGoalCount;HomeTeamPossession;AwayTeamPossession;StadiumName;;;;;;;;;;;;;;;;;;
Sep 01 2018 - 4:30pm;53946;Manchester City;Newcastle United;Kevin Friend;2;1;78;22;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Sep 02 2018 - 12:30pm;32316;Cardiff City;Arsenal;Anthony Taylor;2;3;27;73;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Sep 02 2018 - 3:00pm;21525;Burnley;Manchester United;Jonathan Moss;0;2;46;54;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Sep 02 2018 - 3:00pm;20141;Watford;Tottenham Hotspur;Andre Marriner;2;1;34;66;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Sep 15 2018 - 11:30am;80188;Tottenham Hotspur;Liverpool;Michael Oliver;1;2;60;40;Wembley Stadium (London);;;;;;;;;;;;;;;;;;
Sep 15 2018 - 2:00pm;10543;AFC Bournemouth;Leicester City;Craig Pawson;4;2;46;54;Vitality Stadium (Bournemouth- Dorset);;;;;;;;;;;;;;;;;;
Sep 15 2018 - 2:00pm;40499;Chelsea;Cardiff City;Jonathan Moss;4;1;76;24;Stamford Bridge (London);;;;;;;;;;;;;;;;;;
Sep 15 2018 - 2:00pm;23696;Huddersfield Town;Crystal Palace;Lee Mason;0;1;58;42;John Smith's Stadium (Huddersfield- West Yorkshire);;;;;;;;;;;;;;;;;;
Sep 15 2018 - 2:00pm;53307;Manchester City;Fulham;Stuart Attwell;3;0;64;36;Etihad Stadium (Manchester);;;;;;;;;;;;;;;;;;
Sep 15 2018 - 2:00pm;52165;Newcastle United;Arsenal;Lee Probert;1;2;36;64;St. James' Park (Newcastle upon Tyne);;;;;;;;;;;;;;;;;;
Sep 15 2018 - 4:30pm;20537;Watford;Manchester United;Mike Dean;1;2;42;58;Vicarage Road (Watford);;;;;;;;;;;;;;;;;;
Sep 16 2018 - 12:30pm;30406;Wolverhampton Wanderers;Burnley;Andre Marriner;1;0;58;42;Molineux Stadium (Wolverhampton- West Midlands);;;;;;;;;;;;;;;;;;
Sep 16 2018 - 3:00pm;39161;Everton;West Ham United;Martin Atkinson;1;3;55;45;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
Sep 17 2018 - 7:00pm;27742;Southampton;Brighton & Hove Albion;Anthony Taylor;2;2;51;49;St. Mary's Stadium (Southampton- Hampshire);;;;;;;;;;;;;;;;;;
Sep 22 2018 - 11:30am;23418;Fulham;Watford;Martin Atkinson;1;1;60;40;Craven Cottage (London);;;;;;;;;;;;;;;;;;
Sep 22 2018 - 2:00pm;18636;Burnley;AFC Bournemouth;Anthony Taylor;4;0;37;63;Turf Moor (Burnley);;;;;;;;;;;;;;;;;;
Sep 22 2018 - 2:00pm;32321;Cardiff City;Manchester City;Michael Oliver;0;5;21;79;Cardiff City Stadium (Cardiff (Caerdydd));;;;;;;;;;;;;;;;;;
Sep 22 2018 - 2:00pm;25679;Crystal Palace;Newcastle United;Andre Marriner;0;0;61;39;Selhurst Park (London);;;;;;;;;;;;;;;;;;
Sep 22 2018 - 2:00pm;31676;Leicester City;Huddersfield Town;David Coote;3;1;62;38;King Power Stadium (Leicester- Leicestershire);;;;;;;;;;;;;;;;;;
Sep 22 2018 - 2:00pm;50965;Liverpool;Southampton;Paul Tierney;3;0;60;40;Anfield (Liverpool);;;;;;;;;;;;;;;;;;
Sep 22 2018 - 2:00pm;74489;Manchester United;Wolverhampton Wanderers;Kevin Friend;1;1;64;36;Old Trafford (Manchester);;;;;;;;;;;;;;;;;;
Sep 22 2018 - 4:30pm;30531;Brighton & Hove Albion;Tottenham Hotspur;Chris Kavanagh;1;2;28;72;The American Express Community Stadium (Falmer- East Sussex);;;;;;;;;;;;;;;;;;
Sep 23 2018 - 12:30pm;56875;West Ham United;Chelsea;Mike Dean;0;0;28;72;London Stadium (London);;;;;;;;;;;;;;;;;;
Sep 23 2018 - 3:00pm;59964;Arsenal;Everton;Jonathan Moss;2;0;62;38;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Sep 29 2018 - 11:30am;56938;West Ham United;Manchester United;Michael Oliver;3;1;49;51;London Stadium (London);;;;;;;;;;;;;;;;;;
Sep 29 2018 - 2:00pm;60019;Arsenal;Watford;Anthony Taylor;2;0;63;37;Emirates Stadium (London);;;;;;;;;;;;;;;;;;
Sep 29 2018 - 2:00pm;38788;Everton;Fulham;Roger East;3;0;51;49;Goodison Park (Liverpool);;;;;;;;;;;;;;;;;;
