full_name;age;season;position;Current Club;minutes_played_overall;nationality;goals_overall;assists_overall;penalty_goals;yellow_cards_overall;red_cards_overall
Bakary Sako;34;2018/2019;Midfielder;Crystal Palace;25;Mali;0;0;0;0;0
Ben Chilwell;25;2018/2019;Defender;Leicester City;3240;England;0;4;0;4;0
Ben Davies;29;2018/2019;Defender;Tottenham Hotspur;1839;Wales;0;0;0;2;0
Ben Foster;39;2018/2019;Goalkeeper;Watford;3420;England;0;0;0;1;0
Ben Gibson;29;2018/2019;Defender;Burnley;63;England;1;0;0;1;0
Ben Hamer;34;2018/2019;Goalkeeper;Huddersfield Town;553;England;0;0;0;0;0
Ben Mee;33;2018/2019;Defender;Burnley;3420;England;0;2;0;9;0
Ben White;25;2018/2019;Defender;Brighton & Hove Albion;0;England;0;0;0;0;0
Ben Wilmot;23;2018/2019;Defender;Watford;26;England;0;0;0;0;0
Benjamin Johnson;22;2018/2019;Forward;West Ham United;63;England;0;0;0;0;0
Benjamin Mendy;28;2018/2019;Defender;Manchester City;900;France;0;5;0;1;0
Beram Kayal;34;2018/2019;Midfielder;Brighton & Hove Albion;934;Israel;1;1;0;4;0
Bernard An�cio Caldeira Duarte;30;2018/2019;Midfielder;Everton;2128;Brazil;1;3;0;5;0
Bernardo;27;2018/2019;Defender;Brighton & Hove Albion;1750;Brazil;0;1;0;4;0
Bernardo Silva;28;2018/2019;Midfielder;Manchester City;2853;Portugal;7;7;0;3;0
Bernd Leno;30;2018/2019;Goalkeeper;Arsenal;2835;Germany;0;0;0;0;0
Bobby Reid;29;2018/2019;Midfielder;Cardiff City;1422;England;5;2;1;0;0
Brian Murphy;39;2018/2019;Goalkeeper;Cardiff City;0;Republic of Ireland;0;0;0;0;0
Bright Enobakhare;24;2018/2019;Forward;Wolverhampton Wanderers;0;England;0;0;0;0;0
Bruno �cu�l� Manga;34;2018/2019;Defender;Cardiff City;3375;Gabon;0;1;0;0;0
Bruno Saltor Grau;42;2018/2019;Defender;Brighton & Hove Albion;1136;Spain;0;1;0;2;0
Caglar S�y�nc�;26;2018/2019;Defender;Leicester City;371;Turkey;0;0;0;1;0
Callum Hudson-Odoi;21;2018/2019;Midfielder;Chelsea;391;England;0;1;0;0;0
Callum Paterson;28;2018/2019;Defender;Cardiff City;1996;Scotland;4;1;0;4;0
Callum Roberts;25;2018/2019;Forward;Newcastle United;0;England;0;0;0;0;0
Callum Slattery;23;2018/2019;Midfielder;Southampton;110;England;0;0;0;0;0
